work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,company_location,company_size
2023,Entry-Level,Full-Time,Data Engineer,73900,USD,73900,US,Medium
2023,Entry-Level,Full-Time,AI Programmer,70000,USD,70000,AU,Large
2023,Entry-Level,Full-Time,AI Developer,80000,USD,80000,SE,Medium
2023,Entry-Level,Full-Time,Research Scientist,150000,USD,150000,US,Medium
2023,Entry-Level,Full-Time,Research Scientist,100000,USD,100000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,75000,USD,75000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,60000,USD,60000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,125000,USD,125000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,90000,USD,90000,US,Medium
2023,Entry-Level,Full-Time,AI Developer,200000,EUR,214618,DE,Large
2023,Entry-Level,Full-Time,Data Analyst,100000,USD,100000,US,Large
2023,Entry-Level,Full-Time,Data Analyst,150000,USD,150000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,100000,USD,100000,US,Medium
2023,Entry-Level,Full-Time,Research Scientist,150000,USD,150000,US,Medium
2023,Entry-Level,Full-Time,Research Scientist,100000,USD,100000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,85000,USD,85000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,75000,USD,75000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,30000,USD,30000,IN,Medium
2023,Entry-Level,Full-Time,Computer Vision Engineer,220000,USD,220000,US,Medium
2023,Entry-Level,Full-Time,AI Developer,60000,EUR,64385,DE,Medium
2023,Entry-Level,Full-Time,Data Analyst,55000,USD,55000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,48000,USD,48000,US,Medium
2023,Entry-Level,Part-Time,Data Analyst,78000,PLN,17779,IN,Large
2023,Entry-Level,Full-Time,Data Scientist,101400,BRL,19522,BR,Large
2023,Entry-Level,Full-Time,Data Analyst,75000,USD,75000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,60000,USD,60000,US,Medium
2023,Entry-Level,Full-Time,Research Engineer,120000,USD,120000,GB,Medium
2023,Entry-Level,Full-Time,Research Engineer,60000,USD,60000,GB,Medium
2023,Entry-Level,Full-Time,Data Analyst,60000,USD,60000,US,Large
2023,Entry-Level,Full-Time,Data Analyst,50000,USD,50000,US,Large
2023,Entry-Level,Full-Time,Data Scientist,800000,INR,9727,IN,Large
2023,Entry-Level,Full-Time,Data Analyst,85000,USD,85000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,75000,USD,75000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,12000,USD,12000,VN,Large
2023,Entry-Level,Full-Time,Data Analyst,55000,USD,55000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,48000,USD,48000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,100000,USD,100000,US,Medium
2023,Entry-Level,Full-Time,Data Scientist,110000,USD,110000,US,Small
2023,Entry-Level,Full-Time,Data Scientist,1050000,INR,12767,IN,Large
2023,Entry-Level,Full-Time,Data Engineer,25000,EUR,26827,DE,Large
2023,Entry-Level,Full-Time,BI Developer,160000,USD,160000,US,Medium
2023,Entry-Level,Full-Time,BI Developer,100000,USD,100000,US,Medium
2023,Entry-Level,Full-Time,Big Data Engineer,130000,USD,130000,SE,Small
2023,Entry-Level,Full-Time,Data Engineer,160000,USD,160000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,135000,USD,135000,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,30000,USD,30000,US,Small
2023,Entry-Level,Full-Time,Data Scientist,124234,USD,124234,US,Medium
2023,Entry-Level,Full-Time,Data Scientist,74540,USD,74540,US,Medium
2023,Entry-Level,Full-Time,Data Scientist,1060000,INR,12888,IN,Small
2023,Entry-Level,Full-Time,AI Developer,120000,USD,120000,BA,Small
2023,Entry-Level,Full-Time,Business Data Analyst,12000,EUR,12877,GR,Large
2023,Entry-Level,Full-Time,Data Engineer,160000,USD,160000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,135000,USD,135000,US,Medium
2023,Entry-Level,Full-Time,Data Scientist,50000,USD,50000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,160000,USD,160000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,135000,USD,135000,US,Medium
2023,Entry-Level,Full-Time,Research Engineer,160000,USD,160000,US,Medium
2023,Entry-Level,Full-Time,Research Engineer,120000,USD,120000,US,Medium
2023,Entry-Level,Full-Time,Deep Learning Engineer,150000,USD,150000,US,Medium
2023,Entry-Level,Full-Time,Deep Learning Engineer,120000,USD,120000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,160000,USD,160000,US,Medium
2023,Entry-Level,Full-Time,Data Engineer,135000,USD,135000,US,Medium
2023,Experienced,Full-Time,Data Scientist,258750,USD,258750,US,Medium
2023,Experienced,Full-Time,Data Scientist,185000,USD,185000,US,Medium
2023,Experienced,Full-Time,Data Engineer,220000,USD,220000,US,Medium
2023,Experienced,Full-Time,Data Engineer,205000,USD,205000,US,Medium
2023,Experienced,Full-Time,Head of Data,329500,USD,329500,US,Medium
2023,Experienced,Full-Time,Head of Data,269600,USD,269600,US,Medium
2023,Experienced,Full-Time,Data Engineer,145000,USD,145000,US,Medium
2023,Experienced,Full-Time,Data Engineer,115000,USD,115000,US,Medium
2023,Experienced,Full-Time,Data Engineer,175000,USD,175000,US,Medium
2023,Experienced,Full-Time,Data Engineer,110000,USD,110000,US,Medium
2023,Experienced,Full-Time,Analytics Engineer,221000,USD,221000,US,Medium
2023,Experienced,Full-Time,Analytics Engineer,153000,USD,153000,US,Medium
2023,Experienced,Full-Time,Data Scientist,200000,USD,200000,US,Medium
2023,Experienced,Full-Time,Data Scientist,145000,USD,145000,US,Medium
2023,Experienced,Full-Time,Data Architect,180000,USD,180000,US,Medium
2023,Experienced,Full-Time,Data Architect,155000,USD,155000,US,Medium
2023,Experienced,Full-Time,Data Engineer,286000,USD,286000,US,Medium
2023,Experienced,Full-Time,Data Engineer,207000,USD,207000,US,Medium
2023,Experienced,Full-Time,Director of Data Science,353200,USD,353200,US,Medium
2023,Experienced,Full-Time,Director of Data Science,249300,USD,249300,US,Medium
2023,Experienced,Full-Time,Data Scientist,145000,USD,145000,US,Medium
2023,Experienced,Full-Time,Data Scientist,100000,USD,100000,US,Medium
2023,Experienced,Full-Time,Data Engineer,265000,USD,265000,US,Medium
2023,Experienced,Full-Time,Data Engineer,235000,USD,235000,US,Medium
2023,Experienced,Full-Time,Data Engineer,194500,USD,194500,US,Medium
2023,Experienced,Full-Time,Data Engineer,115500,USD,115500,US,Medium
2023,Experienced,Full-Time,Data Scientist,200000,USD,200000,US,Medium
2023,Experienced,Full-Time,Data Scientist,145000,USD,145000,US,Medium
2023,Experienced,Full-Time,Data Engineer,210914,USD,210914,US,Medium
2023,Experienced,Full-Time,Data Engineer,116704,USD,116704,US,Medium
2023,Experienced,Full-Time,Data Engineer,167500,USD,167500,US,Medium
2023,Experienced,Full-Time,Data Engineer,106500,USD,106500,US,Medium
2023,Experienced,Full-Time,Data Engineer,310000,USD,310000,US,Medium
2023,Experienced,Full-Time,Data Engineer,239000,USD,239000,US,Medium
2023,Experienced,Full-Time,Data Engineer,310000,USD,310000,US,Medium
2023,Experienced,Full-Time,Data Engineer,239000,USD,239000,US,Medium
2023,Experienced,Full-Time,Head of Data Science,131899,GBP,160288,GB,Medium
2023,Experienced,Full-Time,Head of Data Science,104891,GBP,127467,GB,Medium
2023,Experienced,Full-Time,Data Engineer,310000,USD,310000,US,Medium
2023,Experienced,Full-Time,Data Engineer,239000,USD,239000,US,Medium
2023,Experienced,Full-Time,Data Engineer,235000,USD,235000,US,Medium
2023,Experienced,Full-Time,Data Engineer,210000,USD,210000,US,Medium
2023,Experienced,Full-Time,Data Engineer,210914,USD,210914,US,Medium
2023,Experienced,Full-Time,Data Engineer,116704,USD,116704,US,Medium
2023,Experienced,Full-Time,Data Engineer,284000,USD,284000,US,Medium
2023,Experienced,Full-Time,Data Engineer,236000,USD,236000,US,Medium
2023,Experienced,Full-Time,Data Analytics Manager,155000,USD,155000,US,Medium
2023,Experienced,Full-Time,Data Analytics Manager,140000,USD,140000,US,Medium
2023,Experienced,Full-Time,Data Engineer,175000,USD,175000,US,Medium
2023,Experienced,Full-Time,Data Engineer,110000,USD,110000,US,Medium
2023,Experienced,Full-Time,Head of Data Science,314100,USD,314100,US,Medium
2023,Experienced,Full-Time,Head of Data Science,195800,USD,195800,US,Medium
2023,Experienced,Full-Time,Data Engineer,200000,USD,200000,US,Medium
2023,Experienced,Full-Time,Data Engineer,145000,USD,145000,US,Medium
2023,Experienced,Full-Time,Data Engineer,310000,USD,310000,US,Medium
2023,Experienced,Full-Time,Data Engineer,239000,USD,239000,US,Medium
2023,Experienced,Full-Time,Data Scientist,300000,USD,300000,US,Medium
2023,Experienced,Full-Time,Data Scientist,200000,USD,200000,US,Medium
2023,Experienced,Full-Time,Data Engineer,196200,USD,196200,US,Medium
2023,Experienced,Full-Time,Data Engineer,150900,USD,150900,US,Medium
2023,Mid-Level,Contractor,ML Engineer,30000,USD,30000,US,Small
2023,Mid-Level,Contractor,ML Engineer,25500,USD,25500,US,Small
2023,Mid-Level,Full-Time,Data Analyst,150000,USD,150000,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,110000,USD,110000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,162500,USD,162500,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,130000,USD,130000,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,105380,USD,105380,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,64500,USD,64500,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,510000,HKD,65062,HK,Large
2023,Mid-Level,Full-Time,Applied Machine Learning Engineer,65000,EUR,69751,DE,Small
2023,Mid-Level,Full-Time,Machine Learning Engineer,90000,EUR,96578,NL,Large
2023,Mid-Level,Full-Time,Data Analytics Manager,155000,USD,155000,US,Medium
2023,Mid-Level,Full-Time,Data Analytics Manager,140000,USD,140000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,100000,USD,100000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,70000,USD,70000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,100000,USD,100000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,70000,USD,70000,US,Medium
2023,Mid-Level,Full-Time,Business Data Analyst,105000,USD,105000,US,Large
2023,Mid-Level,Full-Time,Applied Data Scientist,1700000,INR,20670,IN,Large
2023,Mid-Level,Full-Time,Data Analyst,38000,GBP,46178,GB,Medium
2023,Mid-Level,Full-Time,Data Analyst,35000,GBP,42533,GB,Medium
2023,Mid-Level,Full-Time,Data Engineer,162500,USD,162500,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,130000,USD,130000,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,55000,GBP,66837,GB,Medium
2023,Mid-Level,Full-Time,Data Scientist,45000,GBP,54685,GB,Medium
2023,Mid-Level,Full-Time,ETL Engineer,70000,GBP,85066,GB,Medium
2023,Mid-Level,Full-Time,ETL Engineer,47500,GBP,57723,GB,Medium
2023,Mid-Level,Full-Time,Machine Learning Engineer,300000,USD,300000,US,Medium
2023,Mid-Level,Full-Time,Machine Learning Engineer,250000,USD,250000,US,Medium
2023,Mid-Level,Full-Time,Research Engineer,230000,USD,230000,US,Medium
2023,Mid-Level,Full-Time,Research Engineer,200000,USD,200000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,180000,USD,180000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,130000,USD,130000,US,Medium
2023,Mid-Level,Full-Time,AI Developer,100000,SGD,75020,FI,Medium
2023,Mid-Level,Full-Time,AI Developer,200000,USD,200000,US,Medium
2023,Mid-Level,Full-Time,Machine Learning Engineer,280700,USD,280700,US,Medium
2023,Mid-Level,Full-Time,Machine Learning Engineer,150450,USD,150450,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,93918,USD,93918,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,51962,USD,51962,US,Medium
2023,Mid-Level,Full-Time,Big Data Engineer,45000,EUR,48289,ES,Medium
2023,Mid-Level,Full-Time,Data Analyst,90000,USD,90000,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,75000,USD,75000,US,Medium
2023,Mid-Level,Full-Time,Research Scientist,161200,GBP,195895,GB,Medium
2023,Mid-Level,Full-Time,Research Scientist,84570,GBP,102772,GB,Medium
2023,Mid-Level,Full-Time,Data Specialist,130000,USD,130000,US,Medium
2023,Mid-Level,Full-Time,Data Specialist,80000,USD,80000,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,180000,USD,180000,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,140000,USD,140000,US,Medium
2023,Mid-Level,Full-Time,Lead Data Analyst,68000,USD,68000,US,Large
2023,Mid-Level,Full-Time,Data Engineer,125000,USD,125000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,90000,USD,90000,US,Medium
2023,Mid-Level,Full-Time,Data Manager,135000,USD,135000,US,Medium
2023,Mid-Level,Full-Time,Data Manager,120000,USD,120000,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,182500,USD,182500,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,101500,USD,121500,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,90000,GBP,72914,GB,Medium
2023,Mid-Level,Full-Time,Data Analyst,121500,USD,121500,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,60000,GBP,72914,GB,Medium
2023,Mid-Level,Full-Time,Data Analyst,45000,GBP,54685,GB,Medium
2023,Mid-Level,Full-Time,Data Architect,167500,USD,167500,US,Medium
2023,Mid-Level,Full-Time,Data Architect,106500,USD,106500,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,146000,USD,146000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,75000,USD,75000,US,Medium
2023,Mid-Level,Full-Time,Machine Learning Scientist,230000,USD,230000,US,Medium
2023,Mid-Level,Full-Time,Machine Learning Scientist,220000,USD,220000,US,Medium
2023,Mid-Level,Full-Time,Research Scientist,210000,USD,210000,US,Medium
2023,Mid-Level,Full-Time,Research Scientist,151800,USD,151800,US,Medium
2023,Mid-Level,Full-Time,MLOps Engineer,134000,USD,135000,US,Large
2023,Mid-Level,Full-Time,MLOps Engineer,124000,USD,104000,US,Large
2023,Mid-Level,Full-Time,MLOps Engineer,134000,USD,134000,US,Medium
2023,Mid-Level,Full-Time,MLOps Engineer,124000,USD,124000,US,Medium
2023,Mid-Level,Full-Time,Data Architect,167500,USD,167500,US,Medium
2023,Mid-Level,Full-Time,Data Architect,106500,USD,106500,US,Medium
2023,Mid-Level,Full-Time,Machine Learning Engineer,135000,USD,135000,US,Large
2023,Mid-Level,Full-Time,Data Engineer,143865,USD,143865,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,115092,USD,115092,US,Medium
2023,Mid-Level,Full-Time,Machine Learning Engineer,130000,USD,130000,US,Medium
2023,Mid-Level,Full-Time,Machine Learning Engineer,90000,USD,90000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,149600,USD,149600,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,102000,USD,102000,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,90000,EUR,96578,IE,Medium
2023,Mid-Level,Full-Time,Data Scientist,75000,EUR,80481,IE,Medium
2023,Mid-Level,Full-Time,Data Analyst,128000,USD,128000,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,85000,USD,85000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,151000,USD,151000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,140000,USD,140000,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,154000,USD,154000,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,143000,USD,143000,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,65000,GBP,78990,GB,Medium
2023,Mid-Level,Full-Time,Data Scientist,42000,GBP,51039,GB,Medium
2023,Mid-Level,Full-Time,Data Scientist,70000,GBP,85066,GB,Medium
2023,Mid-Level,Full-Time,Data Scientist,42000,GBP,51039,GB,Medium
2023,Mid-Level,Full-Time,Data Scientist,90000,GBP,109371,GB,Medium
2023,Mid-Level,Full-Time,Data Scientist,60000,GBP,72914,GB,Medium
2023,Mid-Level,Full-Time,Data Engineer,75000,USD,75000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,60400,USD,60400,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,56000,EUR,60093,DE,Medium
2023,Mid-Level,Full-Time,Data Analyst,83500,USD,83500,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,52500,USD,52500,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,90000,USD,90000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,90000,USD,90000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,145000,USD,145000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,120000,USD,120000,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,206000,USD,206000,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,130000,USD,130000,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,160000,USD,160000,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,112000,USD,112000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,162500,USD,162500,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,130000,USD,130000,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,145000,USD,145000,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,100000,USD,100000,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,145000,USD,145000,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,100000,USD,100000,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,100000,USD,100000,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,85000,USD,85000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,70000,GBP,85066,GB,Medium
2023,Mid-Level,Full-Time,Data Engineer,47500,GBP,57723,GB,Medium
2023,Mid-Level,Full-Time,Data Engineer,140000,USD,140000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,95000,USD,95000,US,Medium
2023,Mid-Level,Full-Time,Financial Data Analyst,130000,USD,130000,US,Large
2023,Mid-Level,Full-Time,Data Analyst,75000,USD,75000,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,65000,USD,65000,US,Medium
2023,Mid-Level,Full-Time,ML Engineer,160000,USD,160000,US,Medium
2023,Mid-Level,Full-Time,ML Engineer,147000,USD,147000,US,Medium
2023,Mid-Level,Full-Time,Software Data Engineer,100000,SGD,75020,SG,Large
2023,Mid-Level,Full-Time,Data Scientist,1400000,INR,17022,IN,Large
2023,Mid-Level,Full-Time,Lead Data Analyst,1500000,INR,18238,IN,Large
2023,Mid-Level,Full-Time,Machine Learning Engineer,250000,USD,250000,US,Medium
2023,Mid-Level,Full-Time,Machine Learning Engineer,150000,USD,150000,US,Medium
2023,Mid-Level,Full-Time,Analytics Engineer,185700,USD,185700,US,Medium
2023,Mid-Level,Full-Time,Analytics Engineer,165000,USD,165000,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,55000,EUR,59020,ES,Medium
2023,Mid-Level,Full-Time,Data Scientist,45000,EUR,48289,ES,Medium
2023,Mid-Level,Full-Time,Data Engineer,70000,EUR,75116,SI,Medium
2023,Mid-Level,Full-Time,Data Engineer,45000,EUR,48289,SI,Medium
2023,Mid-Level,Full-Time,Data Scientist,128750,USD,128750,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,106250,USD,106250,US,Medium
2023,Mid-Level,Full-Time,Data Analytics Manager,155000,USD,155000,US,Medium
2023,Mid-Level,Full-Time,Data Analytics Manager,140000,USD,140000,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,130000,USD,130000,CA,Medium
2023,Mid-Level,Full-Time,Data Analyst,100000,USD,100000,CA,Medium
2023,Mid-Level,Full-Time,Data Science Manager,104500,USD,104500,US,Medium
2023,Mid-Level,Full-Time,Data Science Manager,70000,USD,70000,US,Medium
2023,Mid-Level,Full-Time,Data Science Consultant,90000,USD,90000,US,Medium
2023,Mid-Level,Full-Time,Data Science Consultant,70000,USD,70000,US,Medium
2023,Mid-Level,Full-Time,Research Scientist,185000,USD,185000,US,Medium
2023,Mid-Level,Full-Time,Research Scientist,125000,USD,125000,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,200000,USD,200000,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,150000,USD,150000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,72000,USD,72000,MX,Medium
2023,Mid-Level,Full-Time,Data Engineer,60000,USD,60000,MX,Medium
2023,Mid-Level,Full-Time,Data Engineer,260000,USD,260000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,175000,USD,175000,US,Medium
2023,Mid-Level,Full-Time,Research Scientist,340000,USD,340000,US,Medium
2023,Mid-Level,Full-Time,Research Scientist,150000,USD,150000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,250000,USD,250000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,175000,USD,175000,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,60000,EUR,64385,FR,Medium
2023,Mid-Level,Full-Time,Data Engineer,146000,USD,146000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,75000,USD,75000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,149600,USD,149600,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,102000,USD,102000,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,80000,GBP,97218,GB,Medium
2023,Mid-Level,Full-Time,Data Analyst,40000,GBP,48609,GB,Medium
2023,Mid-Level,Full-Time,Data Engineer,145000,USD,145000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,125000,USD,125000,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,150000,USD,150000,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,97750,USD,97750,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,116990,USD,116990,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,82920,USD,82920,US,Medium
2023,Mid-Level,Full-Time,Machine Learning Scientist,200000,USD,200000,US,Small
2023,Mid-Level,Full-Time,Machine Learning Scientist,125000,USD,125000,US,Small
2023,Mid-Level,Full-Time,Machine Learning Infrastructure Engineer,205920,USD,205920,US,Medium
2023,Mid-Level,Full-Time,Machine Learning Infrastructure Engineer,171600,USD,171600,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,154000,USD,154000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,116000,USD,116000,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,65000,GBP,78990,GB,Medium
2023,Mid-Level,Full-Time,Data Analyst,36050,GBP,43809,GB,Medium
2023,Mid-Level,Full-Time,Data Engineer,200000,USD,200000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,120000,USD,120000,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,105000,GBP,127599,GB,Medium
2023,Mid-Level,Full-Time,Data Engineer,85000,GBP,103294,GB,Medium
2023,Mid-Level,Full-Time,Data Analytics Manager,155000,USD,155000,US,Medium
2023,Mid-Level,Full-Time,Data Analytics Manager,140000,USD,140000,US,Medium
